"TOA5","MyDatalogger","CR1000","E3686","CR1000.Std.27","CPU:cr1000_meterology_v_1.12_Portugal_2014.CR1","28966","slowtable"
"TIMESTAMP","RECORD","PortStat2_Avg","BattV_Avg","PTemp_C_Avg","TCair_C_Avg","AvgTCa_Avg","stdTCa_Avg","Tair_C_Avg","RH_Avg","Tsoil_C1_Avg","Tsoil_C2_Avg","U_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Rs_Wm2_Avg","Rn_mV_Avg","Rn_Wm2_Avg","Rncor_Wm2_Avg","airpress_hpa_Avg","Rain_mm_Tot","PA_uS_15","theta_15","PA_uS_45","theta_45","PA_uS_75","theta_75","druck_gwl_hPa_Avg"
"TS","RN","","Volt","Deg C","Deg C","","","Deg C","%","Deg C","Deg C","meters/second","Deg","Deg","W/m^2","mV","W/m^2","Watts/meter^2","hPa","mm","uSec","no unit","uSec","no unit","uSec","no unit","hPa"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2014-06-05 14:00:00",1,0,12.54,34.66,"NAN","NAN","NAN","NAN",108.8,"NAN","NAN",1.86,76.89,33.45,534.2,4.127,284.6,284.6,1005,0.4,"NAN","NAN","NAN","NAN","NAN","NAN",0
"2014-06-05 14:15:00",2,0,12.52,34.85,"NAN","NAN","NAN","NAN",119.9,"NAN","NAN",2.41,59.46,15.66,479.6,4.096,282.5,282.5,1005,0,"NAN","NAN","NAN","NAN","NAN","NAN",0
"2014-06-05 14:30:00",3,0,12.53,34.21,"NAN","NAN","NAN","NAN",132.1,"NAN","NAN",3.04,48.1,21.81,566.4,4.903,338.1,338.1,1005,0.8,"NAN","NAN","NAN","NAN","NAN","NAN",0
"2014-06-05 14:45:00",4,0,12.52,33.70,"NAN","NAN","NAN","NAN",94.8,"NAN","NAN",2.92,36.11,18.77,720.7,6.567,452.9,452.9,1004,2.4,22.31,0.122,25.11,0.196,"NAN","NAN",0
"2014-06-05 15:00:00",5,0,12.52,34.20,"NAN","NAN","NAN",21.63,61.6,26.83,17.55,2.76,30.71,2.615,887,7.977,550.1,550.3,1004,3.8,22.27,0.121,25.12,0.196,"NAN","NAN",0
"2014-06-05 15:15:00",6,0,12.73,35.46,"NAN","NAN","NAN",22.20,59.5,27.52,17.61,2.99,34.4,27.11,987,9.08,626,626,1005,0.8,22.27,0.121,25.12,0.196,"NAN","NAN",0
"2014-06-05 15:30:00",7,0,13.23,32.32,23.87,23.880,0.791,22.38,59.1,27.67,17.69,3.36,358.8,34.84,1013,9.29,640.7,640.8,1004,0,22.26,0.121,25.11,0.196,"NAN","NAN",0
"2014-06-05 15:45:00",8,0,13.02,30.68,23.39,23.390,0.755,22.16,61.2,26.89,17.73,3.25,0,0,954,8.61,593.8,594,1004,0,22.24,0.12,25.11,0.196,"NAN","NAN",0
"2014-06-05 16:00:00",9,0,13.18,29.94,23.62,23.610,0.721,22.05,62.3,26.19,17.80,3.25,359.4,86,891,7.941,547.7,547.7,1004,0.2,22.24,0.12,25.11,0.196,"NAN","NAN",0.36
"2014-06-05 16:15:00",10,0,13.14,29.12,23.50,23.520,0.657,21.87,62.7,26.16,17.84,3.06,166.4,29.35,855,7.66,528.3,528.3,1004,0,22.23,0.12,25.11,0.196,"NAN","NAN",0.982
"2014-06-05 16:30:00",11,0,13.20,29.87,23.13,23.100,0.764,21.69,63.2,25.35,17.88,3.19,176.4,23.82,783.5,6.682,460.8,460.9,1004,0,22.23,0.12,25.11,0.196,"NAN","NAN",0.983
